Feature,Importance
car_age,0.2522230822305236
Make_Mercedes,0.18626668290910292
Make_BMW,0.06891786845227024
mileage,0.06508523836003986
mileage_per_year,0.04267368617913959
Make_Porsche,0.032759369818319846
Make_Land Rover,0.030995387992747696
Model_G Class,0.029282575211025685
Automatic Transmission_Yes,0.01067230770869802
Make_Skoda,0.010489232322025427
Make_Audi,0.010411851524819417
Automatic Transmission_No,0.010173307312885068
Model_Land Cruiser,0.009697700030176247
Model_Sportage,0.008598046366953275
Model_Fortuner,0.008588779532402026
Model_Prado,0.006983979619319008
Model_X6 M,0.006928812266432788
City_Heliopolis,0.006824837591480352
Model_Range Rover Sport,0.00681881525604864
Make_Jeep,0.0063853281125480785
Model_Cayenne,0.006133745070884106
Model_Pajero,0.005462517545806421
Color_Black,0.005434471637112735
Model_Tucson,0.004752163596873407
Model_Grand Cherokee,0.004664296851369146
Model_Sunny,0.004651249734193826
Model_GLS,0.004544457472182524
City_Tagamo3 - New Cairo,0.004024423030156924
Color_White,0.003873778763395309
Make_Volkswagen,0.0038161558407420644
Color_Gray,0.0037559168555319003
Model_Q7,0.0036501727056210565
Make_Peugeot,0.003617812594283431
Make_Lexus,0.003500797045091311
Make_Toyota,0.0029844977449801544
City_Cairo,0.0027323400864413976
Air Conditioner_Yes,0.0027210660142579536
Model_Kodiaq,0.0026591458435729397
Make_Kia,0.0025930442664313896
Air Conditioner_No,0.0024458449770314644
Power Steering_Yes,0.002403872650422299
Model_Range Rover Vogue,0.0022782934168308813
Color_Silver,0.0022498376753442174
City_6 October,0.0022282428429857702
Model_GLC 300,0.002214416862822958
Power Steering_No,0.0022112799703436865
Model_C 180,0.002177752944845664
Make_Volvo,0.0019995890004385736
Make_Chevrolet,0.0018469666573341396
Model_318,0.0017670507529738088
Make_Maserati,0.0017176019102621914
Remote Control_Yes,0.001641554678337911
Model_CLA 200,0.0016018544890606327
City_Nasr city,0.0015281365219574825
Remote Control_No,0.001510446454843694
Make_Byd,0.0014756919211502408
Make_Suzuki,0.0014754012013661044
Model_301,0.001412970738571582
Model_3008,0.001392653446370213
Model_Tucson Turbo GDI,0.0013867233472089717
City_Sheraton,0.001358222477183494
City_Mohandessin,0.0013433612255933298
Make_Aston Martin,0.001308531471107805
Make_Chery,0.0012868076954032437
Model_Logan,0.0012556672717818622
Make_Tesla,0.0012399402901414312
Model_X6,0.0012116248328464486
Model_X5,0.0011940623593713468
Model_Tucson GDI,0.0011744050028317582
Model_Tiguan,0.0011655408552649826
City_Alexandria,0.0011193055163067481
Model_525,0.0010508037466201892
Color_Dark blue,0.00104434997320906
Model_Sorento,0.0009949423678416993
Model_Mokka,0.0009907853341400404
Model_X5 M,0.000990777975243136
Model_Corolla,0.000986218246994202
Model_Arrizo 5,0.0009807823046702573
Model_740,0.0009719999867457157
Model_Optra,0.0009482302974215071
City_Giza,0.0009345675381378247
Make_Honda,0.0009070919831079584
Model_Insignia,0.0008686546526087123
Model_Durango,0.0008642389663011315
Model_Velar,0.0008482420936382247
Make_Dodge,0.0008153831838928247
Model_DS7,0.0008113570227957778
Make_Hyundai,0.0008011552378336607
Model_GLE,0.0007945603025461423
Make_Seat,0.0007666153625008232
Model_Patrol,0.0007580569031848675
Model_XC90,0.0007375304715189616
Model_Macan,0.0007289785502703346
Make_Nissan,0.0007108417330462859
Model_C5 Aircross,0.0007041918269456832
Model_E 200,0.0006981500006597212
City_Sheikh Zayed City,0.0006798909233813812
Model_X1,0.0006552293361745624
Model_Range Rover Evoque,0.0006410309065372268
Color_Red,0.000639899285385533
Color_Blue,0.0006389717991795066
Model_C 200,0.0006335326335239683
Make_Fiat,0.0006146294811306721
Model_E 300,0.000607429568489046
Model_5008,0.0006047017038424887
Model_Renegade,0.0005760584975598455
Model_Qashqai,0.0005710498891339372
Model_GLC 200,0.0005677923434883416
Color_Dark grey,0.000552455174778101
Model_Grandland,0.000548272110380644
City_El Haram,0.0005419556161531376
Make_Geely,0.0004881718239147771
Model_F3,0.0004803458893559623
Model_Ateca,0.0004687998647561043
Model_GLA,0.00046576926159043816
Model_A 200,0.0004647824465284457
Model_Verna,0.00045665621531552555
Make_Mitsubishi,0.0004526240532042381
Make_Renault,0.0004340472108703619
Make_Lada,0.00043024835004013055
Model_X4,0.00041212558243646625
Model_E 200 AMG,0.0004020673828723514
Make_MG,0.00039746189679305653
Model_S 500,0.000389841731870855
Model_5,0.00038332558158031825
Model_520,0.00038161960507081955
Model_X3,0.0003689985483586717
Model_Octavia A7,0.0003618639002308145
Model_Tarraco,0.00035930334125104375
Model_508,0.00035781100561971214
City_Maadi,0.0003545006176839576
Color_Petroleum,0.00035165104410341946
Make_Opel,0.00035154409426730075
Make_Ford,0.00035145196939805935
Model_320,0.000348107244087911
Model_Passat,0.00034699899605924995
Make_Changan,0.00031991803194589253
Model_200,0.0003188598193804822
Make_Speranza,0.0003026223805763839
City_Zagazig,0.0002988376225817745
Make_Ds,0.0002904512494328564
Model_Aveo,0.0002880947241423671
Model_IX 35,0.00027850207629459296
Make_Citroën,0.0002767800062677962
Model_Elantra HD,0.0002730777506207708
Model_Model X,0.00026652603470347827
Model_Kadjar,0.00026358349169965697
Make_Cupra,0.00026092709126185944
Model_Elantra CN7,0.0002530738612513341
Model_218 i,0.00025134324807591935
Make_Jaguar,0.00025131255997458554
Model_Fusion,0.00024667934414369203
Model_HS,0.00022871043185036162
Model_Wrangler,0.00022556905269276008
Make_Mini,0.0002242305914991095
Model_Leon,0.00022338127656965442
Model_Accord,0.00022146262262739768
Model_CLA 180,0.00021829725160943297
Model_C 200 AMG,0.00021172461389317178
City_Mansoura,0.0002075333049308756
Color_Orange,0.0002072709388477302
City_Sadat City,0.00020339892141258832
Model_Granta,0.00020080835237832657
Model_Lanos,0.0002003733397406157
Model_Picanto,0.0001926689707298553
Model_Captiva,0.0001850862932615719
Model_Tiggo 3,0.00017806470494919398
Model_GLC 200 AMG Imported,0.00017676246754923206
Model_C5,0.00016836671235082344
Model_Equinox,0.00016728161316618363
Model_Civic,0.00016536988611982973
City_Beni Suef,0.00016377557929960263
Model_Eclipse Cross,0.00016268127054405422
Make_Infiniti,0.00015976071037584604
Make_Jac,0.0001538097134483945
